user_id,treatment_group,loan_amount,loan_tenure_months,credit_score,repayment_outcome
user_110,control,5808,12,574,late
user_111,treatment,3444,12,702,paid
user_112,control,4714,6,600,paid
user_113,treatment,3686,12,630,paid
user_114,treatment,2925,12,662,paid
user_115,control,6389,12,749,paid
user_116,treatment,7864,6,805,paid
user_117,control,2902,12,680,paid
user_118,treatment,5844,6,640,late
user_119,treatment,4024,12,676,late
user_120,control,4269,6,694,paid
user_121,treatment,4111,18,633,paid
user_122,control,3704,12,739,paid
user_123,treatment,5072,12,661,paid
user_124,control,3753,6,674,paid
user_125,control,5405,12,683,paid
user_126,treatment,4924,18,671,paid
user_127,treatment,4641,18,691,paid
user_128,control,3638,12,619,paid
user_129,treatment,4134,12,622,paid
user_130,treatment,6133,12,594,paid
user_131,treatment,5751,18,671,paid
user_132,control,3533,12,688,defaulted
user_133,control,5148,12,672,paid
user_134,control,6127,12,733,paid
user_135,control,2495,12,649,late
user_136,control,5815,6,683,defaulted
user_137,control,4006,12,595,paid
user_138,control,5855,12,630,late
user_139,control,3855,12,684,paid
user_140,control,2292,6,692,paid
user_141,treatment,2558,12,635,paid
user_142,control,5072,12,646,paid
user_143,treatment,5389,12,574,paid
user_144,treatment,3643,6,632,paid
user_145,treatment,5957,12,694,paid
user_146,control,2507,12,678,paid
user_147,control,4900,12,675,paid
user_148,control,3183,12,652,paid
user_149,control,4022,12,650,paid
user_150,treatment,5071,18,616,paid
user_151,control,3709,6,684,paid
user_152,control,4423,18,671,late
user_153,control,6509,12,674,paid
user_154,control,4134,6,623,paid
user_155,control,6253,6,542,paid
user_156,treatment,3305,12,704,paid
user_157,control,5794,12,626,paid
user_158,treatment,7162,12,606,paid
user_159,control,1292,12,684,paid
user_160,treatment,3804,12,630,paid
user_161,control,5865,12,702,paid
user_162,control,4695,6,680,paid
user_163,treatment,5556,12,684,paid
user_164,treatment,4094,12,581,defaulted
user_165,treatment,5129,6,710,paid
user_166,control,4766,6,663,paid
user_167,treatment,6751,12,631,paid
user_168,control,5381,12,657,paid
user_169,control,5506,18,561,paid
user_170,treatment,4382,18,670,paid
user_171,treatment,4268,12,598,paid
user_172,control,4351,12,582,paid
user_173,control,5591,12,573,paid
user_174,treatment,4368,12,705,paid
user_175,treatment,5434,6,618,paid
user_176,treatment,8113,12,726,paid
user_177,control,6306,18,623,paid
user_178,control,4510,12,564,paid
user_179,control,6801,12,594,paid
user_180,control,4387,12,711,paid
user_181,control,1942,6,642,paid
user_182,control,3487,12,622,paid
user_183,treatment,2193,12,658,late
user_184,control,4472,6,675,paid
user_185,control,5027,6,705,paid
user_186,control,7514,18,722,paid
user_187,treatment,5490,6,632,paid
user_188,control,4671,12,583,paid
user_189,control,6244,6,629,paid
user_190,treatment,1683,18,663,paid
user_191,control,5353,6,601,paid
user_192,control,6156,12,602,paid
user_193,control,2782,18,667,paid
user_194,control,6715,18,647,defaulted
user_195,control,5507,6,651,paid
user_196,treatment,4377,18,612,paid
user_197,treatment,5949,12,638,paid
user_198,treatment,8406,12,603,paid
user_199,control,5272,6,694,paid
user_200,control,5372,6,701,paid
user_201,control,4310,12,557,paid
user_202,treatment,3725,12,603,paid
user_203,control,6245,12,575,late
user_204,control,3715,12,617,paid
user_205,treatment,5107,12,645,paid
user_206,control,4283,6,577,defaulted
user_207,treatment,5718,12,603,paid
user_208,treatment,5500,6,599,paid
user_209,treatment,6556,12,660,paid
user_210,control,4234,12,653,defaulted
user_211,control,4595,18,613,paid
user_212,control,3531,6,658,paid
user_213,control,4333,6,622,paid
user_214,control,5565,6,636,paid
user_215,control,6135,6,733,paid
user_216,control,3616,6,717,paid
user_217,treatment,6304,18,585,defaulted
user_218,control,7033,6,691,paid
user_219,treatment,5620,6,690,paid
user_220,control,7815,12,592,paid
user_221,control,3839,12,690,paid
user_222,control,3133,12,726,late
user_223,treatment,2331,6,593,paid
user_224,treatment,7244,12,604,paid
user_225,treatment,5981,6,700,paid
user_226,treatment,4916,6,663,paid
user_227,control,5419,18,677,paid
user_228,treatment,3311,6,667,paid
user_229,control,8668,12,669,paid
user_230,control,5193,12,583,defaulted
user_231,treatment,5164,12,702,paid
user_232,treatment,6088,18,708,late
user_233,treatment,5721,6,638,paid
user_234,treatment,5335,12,647,paid
user_235,treatment,3814,18,573,paid
user_236,treatment,5707,12,675,paid
user_237,treatment,7823,18,678,paid
user_238,treatment,7018,6,646,paid
user_239,control,7389,12,706,paid
user_240,treatment,4233,6,633,paid
user_241,treatment,3515,12,678,paid
user_242,control,4811,18,599,paid
user_243,treatment,5083,6,648,paid
user_244,control,6641,12,641,paid
user_245,control,2461,6,661,paid
user_246,treatment,7294,12,631,paid
user_247,control,4762,12,643,late
user_248,control,4359,18,691,paid
user_249,control,3481,12,628,paid
user_250,control,2517,12,569,late
user_251,treatment,6234,6,737,paid
user_252,control,5109,6,719,paid
user_253,treatment,3065,6,585,paid
user_254,control,3057,6,684,late
user_255,control,4496,18,624,paid
user_256,control,7503,12,663,paid
user_257,control,4610,12,664,paid
user_258,treatment,2745,6,638,paid
user_259,treatment,4631,18,610,paid
user_260,control,4590,12,615,paid
user_261,control,954,6,604,paid
user_262,treatment,4918,12,608,defaulted
user_263,control,4653,12,646,paid
user_264,control,6044,6,614,paid
user_265,control,7773,12,684,paid
user_266,treatment,6689,12,724,paid
user_267,treatment,4596,6,620,paid
user_268,treatment,3340,18,661,paid
user_269,control,8860,18,674,late
user_270,control,5088,12,673,paid
user_271,treatment,5020,12,653,paid
user_272,treatment,4963,12,687,late
user_273,treatment,5297,12,674,paid
user_274,treatment,4783,12,588,late
user_275,control,4139,6,693,defaulted
user_276,treatment,4179,12,694,paid
user_277,control,4950,18,611,paid
user_278,treatment,4184,12,651,paid
user_279,control,3930,6,684,paid
user_280,treatment,5159,12,639,paid
user_281,treatment,4617,6,703,paid
user_282,treatment,7255,6,768,late
user_283,treatment,1023,6,610,paid
user_284,control,6637,12,580,paid
user_285,treatment,6869,12,665,paid
user_286,control,1889,12,686,defaulted
user_287,control,4485,6,638,paid
user_288,control,4442,18,722,defaulted
user_289,control,2888,18,583,paid
user_290,treatment,3833,18,684,paid
user_291,control,3334,6,619,paid
user_292,control,7628,12,735,paid
user_293,control,6403,18,749,paid
user_294,treatment,6907,12,611,paid
user_295,treatment,6082,6,622,paid
user_296,treatment,3306,6,692,paid
user_297,treatment,4213,12,630,paid
user_298,control,5734,18,647,defaulted
user_299,control,3166,12,651,paid
user_300,treatment,6069,12,554,paid
user_301,control,4639,6,649,paid
user_302,control,4437,12,615,paid
user_303,control,6066,18,625,late
user_304,treatment,5666,12,722,paid
user_305,treatment,4458,12,587,paid
user_306,control,6738,18,690,paid
user_307,treatment,3378,6,636,paid
user_308,treatment,5923,12,636,paid
user_309,treatment,5889,6,689,paid
user_310,treatment,4535,12,667,paid
user_311,treatment,5489,12,678,paid
user_312,control,3123,12,698,paid
user_313,treatment,6386,12,633,paid
user_314,control,4722,12,619,defaulted
user_315,control,4215,18,595,paid
user_316,treatment,6573,12,608,paid
user_317,control,3943,6,797,paid
user_318,control,2887,12,712,paid
user_319,control,2665,12,582,paid
user_320,treatment,5909,12,583,paid
user_321,treatment,3079,18,674,paid
user_322,control,7632,18,677,paid
user_323,treatment,1877,6,677,paid
user_324,treatment,7544,18,637,paid
user_325,treatment,5316,6,643,paid
user_326,treatment,4854,6,666,paid
user_327,control,4182,6,654,paid
user_328,control,5598,18,539,paid
user_329,treatment,4943,12,638,paid
user_330,treatment,6654,6,607,paid
user_331,control,5171,12,658,paid
user_332,control,5225,12,799,paid
user_333,treatment,4454,6,668,paid
user_334,control,4914,18,634,paid
user_335,treatment,5461,18,696,paid
user_336,treatment,2434,12,674,paid
user_337,control,2977,18,671,paid
user_338,control,6114,12,680,late
user_339,treatment,5256,18,752,paid
user_340,treatment,4724,12,593,paid
user_341,control,5027,12,673,paid
user_342,treatment,5521,6,603,paid
user_343,control,4190,18,677,paid
user_344,treatment,3832,12,604,paid
user_345,control,5293,6,629,late
user_346,control,3532,6,635,paid
user_347,control,5612,12,698,defaulted
user_348,treatment,2446,12,695,paid
user_349,treatment,6543,12,587,paid
user_350,control,5708,18,652,paid
user_351,treatment,5384,6,614,paid
user_352,control,6474,12,587,paid
user_353,control,7498,6,639,paid
user_354,treatment,6521,18,634,paid
user_355,treatment,2238,18,771,late
user_356,control,3080,12,671,late
user_357,treatment,4062,12,581,paid
user_358,treatment,5039,12,621,paid
user_359,control,5776,12,701,paid
user_360,control,3911,18,754,paid
user_361,treatment,5280,12,570,paid
user_362,control,3866,12,556,paid
user_363,control,4082,12,743,paid
user_364,treatment,2890,18,669,paid
user_365,control,3615,12,606,defaulted
user_366,control,2972,6,676,paid
user_367,treatment,3536,12,518,defaulted
user_368,treatment,6580,18,650,paid
user_369,control,3575,6,666,paid
user_370,control,8948,6,696,paid
user_371,treatment,5739,6,599,paid
user_372,treatment,5277,12,654,paid
user_373,treatment,3712,12,603,paid
user_374,treatment,6050,12,662,paid
user_375,control,4136,12,605,paid
user_376,treatment,5183,12,629,paid
user_377,treatment,8840,12,600,paid
user_378,control,4855,18,682,paid
user_379,treatment,6723,12,692,paid
user_380,control,3945,18,638,paid
user_381,treatment,4947,12,651,paid
user_382,treatment,7656,6,577,defaulted
user_383,treatment,4059,12,635,paid
user_384,control,7718,12,647,paid
user_385,control,6061,12,781,paid
user_386,treatment,4156,6,594,paid
user_387,control,5948,6,723,paid
user_388,control,6458,18,699,paid
user_389,control,5932,6,664,paid
user_390,control,2644,18,737,paid
user_391,control,3909,6,668,paid
user_392,control,4628,12,669,paid
user_393,treatment,4888,12,647,paid
user_394,treatment,5931,12,711,late
user_395,control,5266,12,704,paid
user_396,treatment,2996,6,618,paid
user_397,treatment,5570,6,584,paid
user_398,treatment,5915,12,639,paid
user_399,treatment,5839,12,609,defaulted
user_400,control,6621,18,646,paid
user_401,treatment,6250,18,711,paid
user_402,treatment,5688,12,627,paid
user_403,control,4894,12,647,paid
user_404,control,2508,12,652,paid
user_405,treatment,5644,6,692,paid
user_406,treatment,5311,18,537,defaulted
user_407,treatment,5407,12,619,paid
user_408,treatment,3084,12,660,paid
user_409,treatment,3378,6,710,paid
user_410,treatment,6579,12,625,paid
user_411,control,4940,12,556,paid
user_412,treatment,6022,18,680,paid
user_413,treatment,5042,12,618,late
user_414,control,5044,12,590,late
user_415,control,6407,18,618,late
user_416,control,4225,6,640,paid
user_417,control,5144,12,619,paid
user_418,treatment,4306,6,539,paid
user_419,treatment,4348,12,694,paid
user_420,treatment,4536,18,713,paid
user_421,treatment,5333,6,682,paid
user_422,treatment,4281,18,593,paid
user_423,treatment,6883,6,639,defaulted
user_424,control,3658,18,649,paid
user_425,treatment,4719,12,679,paid
user_426,control,4340,18,683,paid
user_427,control,7170,6,613,paid
user_428,treatment,5294,18,654,paid
user_429,control,6547,12,672,defaulted
user_430,treatment,2771,12,722,paid
user_431,control,5400,18,685,late
user_432,treatment,6334,6,689,defaulted
user_433,control,5123,18,654,paid
user_434,treatment,6598,6,720,paid
user_435,treatment,4224,12,670,paid
user_436,treatment,7114,12,606,paid
user_437,treatment,8448,6,720,paid
user_438,treatment,4455,6,684,paid
user_439,control,4331,6,627,paid
user_440,control,7180,12,626,paid
user_441,control,7369,12,664,paid
user_442,treatment,4215,12,673,paid
user_443,control,4369,6,659,paid
user_444,treatment,4577,6,665,paid
user_445,treatment,2983,12,734,paid
user_446,control,3622,6,703,paid
user_447,control,3493,18,659,paid
user_448,treatment,3848,18,697,paid
user_449,control,4947,12,598,late
user_450,treatment,5351,12,669,paid
user_451,treatment,7325,18,740,paid
user_452,treatment,3502,6,639,paid
user_453,treatment,6476,6,607,paid
user_454,treatment,4679,6,617,paid
user_455,control,4925,12,595,paid
user_456,control,6012,6,610,paid
user_457,treatment,3315,12,631,paid
user_458,treatment,5573,18,579,paid
user_459,control,5249,18,650,paid
user_460,control,5738,12,695,paid
user_461,treatment,5433,6,604,paid
user_462,control,8682,18,725,paid
user_463,treatment,4043,12,675,paid
user_464,control,4203,6,701,paid
user_465,treatment,4065,6,617,paid
user_466,control,4166,18,692,paid
user_467,treatment,4043,12,595,paid
user_468,control,6783,18,694,paid
user_469,control,7130,18,658,paid
user_470,treatment,4143,12,677,late
user_471,control,3751,12,591,paid
user_472,treatment,5707,12,605,paid
user_473,control,4171,12,679,paid
user_474,treatment,5949,12,602,paid
user_475,control,5304,12,673,paid
user_476,treatment,2726,12,581,paid
user_477,control,7321,18,692,paid
user_478,treatment,7693,12,588,late
user_479,control,4080,12,677,paid
user_480,treatment,4418,12,681,paid
user_481,treatment,5428,12,615,late
user_482,treatment,5501,12,679,paid
user_483,control,5987,6,663,late
user_484,treatment,8015,12,623,paid
user_485,control,4734,6,599,late
user_486,treatment,3802,12,551,paid
user_487,control,2931,12,667,paid
user_488,treatment,3903,12,571,defaulted
user_489,control,4950,18,654,paid
user_490,control,7691,12,636,paid
user_491,treatment,4223,12,683,paid
user_492,control,5335,12,634,paid
user_493,control,4975,12,633,paid
user_494,treatment,6782,6,686,paid
user_495,control,8790,6,666,paid
user_496,control,4203,12,665,paid
user_497,control,4265,12,673,paid
user_498,treatment,6566,6,573,paid
user_499,control,6022,6,687,paid
user_500,treatment,7770,6,680,paid
user_501,control,5875,18,599,paid
user_502,control,4461,12,637,paid
user_503,control,5885,12,648,paid
user_504,treatment,6663,6,643,paid
user_505,control,6230,12,666,paid
user_506,control,5760,6,721,paid
user_507,treatment,6600,6,704,paid
user_508,control,6753,12,584,paid
user_509,treatment,7073,6,681,paid
user_510,treatment,5973,6,716,paid
user_511,control,4749,6,669,defaulted
user_512,treatment,5220,6,704,paid
user_513,control,6809,6,750,paid
user_514,treatment,3774,12,701,paid
user_515,treatment,5553,18,662,paid
user_516,control,4409,12,702,paid
user_517,treatment,5043,12,657,paid
user_518,treatment,6917,6,651,paid
user_519,treatment,5286,18,632,late
user_520,treatment,5069,12,728,defaulted
user_521,treatment,2960,6,609,paid
user_522,control,6119,12,726,paid
user_523,treatment,5968,6,674,paid
user_524,control,8244,12,580,paid
user_525,treatment,4538,12,668,paid
user_526,control,5328,18,544,defaulted
user_527,control,5374,12,681,paid
user_528,treatment,7366,12,694,paid
user_529,treatment,4857,18,620,paid
user_530,treatment,5418,6,656,paid
user_531,control,5911,6,747,paid
user_532,treatment,5279,12,624,paid
user_533,control,4330,12,597,paid
user_534,control,5291,12,724,paid
user_535,control,6610,18,748,paid
user_536,treatment,3460,12,650,paid
user_537,treatment,5199,12,700,paid
user_538,control,3949,12,717,paid
user_539,control,6792,18,612,defaulted
user_540,treatment,2715,18,625,paid
user_541,control,4161,18,711,late
user_542,treatment,5565,6,734,paid
user_543,control,7348,12,678,paid
user_544,treatment,4901,6,606,paid
user_545,control,4167,6,749,paid
user_546,treatment,7821,6,623,defaulted
user_547,control,2827,12,633,paid
user_548,treatment,1701,12,667,paid
user_549,treatment,5660,6,727,paid
user_550,control,4246,12,692,paid
user_551,control,3468,12,670,paid
user_552,treatment,6062,12,673,paid
user_553,control,5365,6,652,paid
user_554,treatment,4153,12,677,paid
user_555,control,3079,12,523,paid
user_556,treatment,6308,6,635,paid
user_557,treatment,5975,6,662,paid
user_558,treatment,4851,12,592,paid
user_559,treatment,7769,18,669,paid
user_560,treatment,3394,12,639,paid
user_561,treatment,2711,12,737,paid
user_562,control,3962,12,728,paid
user_563,control,4931,12,626,defaulted
user_564,control,5365,6,642,paid
user_565,treatment,4638,12,646,paid
user_566,treatment,5528,18,627,late
user_567,treatment,3122,12,659,paid
user_568,treatment,7165,18,612,paid
user_569,control,4876,12,593,defaulted
user_570,control,6675,6,681,paid
user_571,treatment,5514,18,681,paid
user_572,control,5685,6,609,paid
user_573,control,5854,12,694,paid
user_574,treatment,5671,6,618,paid
user_575,control,5964,6,662,paid
user_576,treatment,6993,12,691,paid
user_577,control,5294,6,648,late
user_578,treatment,6063,12,672,paid
user_579,treatment,4865,12,624,paid
user_580,treatment,7160,6,640,late
user_581,treatment,3985,6,639,late
user_582,control,7701,12,612,late
user_583,treatment,4939,12,641,paid
user_584,treatment,2853,12,572,paid
user_585,treatment,5192,12,625,defaulted
user_586,control,3978,18,635,paid
user_587,treatment,6260,12,637,paid
user_588,control,4021,12,637,paid
user_589,treatment,4330,12,646,paid
user_590,control,2165,6,673,paid
user_591,control,4321,12,693,paid
user_592,treatment,1364,12,617,paid
user_593,control,2624,12,589,late
user_594,treatment,6140,12,597,late
user_595,treatment,6178,18,625,paid
user_596,treatment,5638,18,632,defaulted
user_597,control,3549,18,611,paid
user_598,control,4928,12,585,paid
user_599,treatment,4994,12,627,paid
user_600,treatment,3262,12,659,paid
user_601,control,7255,12,679,defaulted
user_602,treatment,6316,12,622,paid
user_603,treatment,4668,12,629,late
user_604,treatment,5040,12,603,paid
user_605,control,5312,12,648,paid
user_606,control,1937,6,607,paid
user_607,control,4629,12,678,paid
user_608,treatment,3977,6,560,paid
user_609,treatment,3497,18,632,late
user_610,treatment,4578,12,665,paid
user_611,control,7696,6,659,paid
user_612,treatment,5961,6,784,paid
user_613,treatment,4143,12,667,paid
user_614,treatment,5858,12,599,late
user_615,treatment,7099,12,645,paid
user_616,control,6386,6,561,paid
user_617,control,5089,12,645,late
user_618,treatment,4029,12,608,paid
user_619,control,6047,12,695,paid
user_620,control,5590,12,622,paid
user_621,treatment,6342,12,644,paid
user_622,treatment,5952,6,618,paid
user_623,control,6574,18,736,paid
user_624,treatment,4197,12,633,paid
user_625,control,6976,12,741,paid
user_626,treatment,5296,6,690,paid
user_627,control,8112,12,674,paid
user_628,treatment,3966,6,668,paid
user_629,control,7603,12,669,paid
user_630,control,5296,18,553,paid
user_631,control,4022,12,636,paid
user_632,treatment,4274,6,692,paid
user_633,control,4519,6,647,paid
user_634,control,5636,12,579,paid
user_635,treatment,5784,6,647,paid
user_636,treatment,4139,6,735,paid
user_637,control,4963,12,712,paid
user_638,control,8213,12,646,defaulted
user_639,treatment,7591,6,697,paid
user_640,treatment,5654,18,631,paid
user_641,treatment,5057,6,564,paid
user_642,treatment,5180,18,603,paid
user_643,treatment,5920,12,728,late
user_644,control,3465,18,636,paid
user_645,treatment,4613,12,637,paid
user_646,control,2497,18,635,paid
user_647,control,5598,18,745,paid
user_648,control,5970,6,731,paid
user_649,treatment,4275,18,760,paid
user_650,control,7360,12,642,defaulted
user_651,control,3161,12,664,paid
user_652,treatment,2803,12,574,paid
user_653,control,5336,12,723,paid
user_654,control,6570,6,591,paid
user_655,treatment,7525,12,660,paid
user_656,control,4311,12,595,defaulted
user_657,control,6618,12,620,paid
user_658,control,4942,18,608,paid
user_659,treatment,4741,12,619,paid
user_660,treatment,6325,12,623,defaulted
user_661,treatment,5978,6,622,paid
user_662,control,2635,6,691,paid
user_663,control,7214,6,594,paid
user_664,treatment,7070,12,661,paid
user_665,control,4061,6,710,paid
user_666,control,5593,18,624,paid
user_667,treatment,5741,12,614,paid
user_668,treatment,5391,12,638,paid
user_669,control,4174,12,708,paid
user_670,control,3992,6,659,paid
user_671,control,4961,12,623,paid
user_672,treatment,6759,12,674,paid
user_673,treatment,5815,12,594,paid
user_674,treatment,4444,12,684,paid
user_675,treatment,6157,18,670,paid
user_676,control,727,18,634,paid
user_677,treatment,6723,12,608,paid
user_678,treatment,2390,12,605,defaulted
user_679,treatment,4456,12,676,paid
user_680,treatment,3320,6,711,late
user_681,treatment,3057,12,618,paid
user_682,control,6741,6,672,paid
user_683,control,4298,12,545,paid
user_684,treatment,5519,12,620,paid
user_685,control,4929,6,648,paid
user_686,treatment,5715,18,604,paid
user_687,treatment,5115,18,603,defaulted
user_688,control,3075,12,616,late
user_689,control,6494,12,664,paid
user_690,treatment,4259,18,640,paid
user_691,treatment,2665,6,538,paid
user_692,treatment,4357,12,543,paid
user_693,control,7251,6,619,paid
user_694,treatment,6275,12,672,late
user_695,treatment,4477,6,512,paid
user_696,treatment,4476,18,625,paid
user_697,control,4517,18,623,paid
user_698,treatment,8115,6,719,paid
user_699,treatment,5572,12,630,paid
user_700,control,5645,18,669,paid
user_701,treatment,6545,12,657,paid
user_702,treatment,5358,18,543,paid
user_703,control,4611,12,688,paid
user_704,treatment,4705,12,660,defaulted
user_705,control,4892,6,675,paid
user_706,control,4944,6,846,paid
user_707,treatment,6091,12,545,paid
user_708,treatment,5077,12,736,paid
user_709,treatment,6098,12,635,paid
user_710,treatment,4878,12,664,paid
user_711,control,5117,12,647,paid
user_712,treatment,2002,18,628,paid
user_713,control,6374,18,621,paid
user_714,treatment,5519,12,666,paid
user_715,treatment,6497,18,574,late
user_716,treatment,655,12,687,paid
user_717,control,8132,12,629,paid
user_718,treatment,4790,18,593,paid
user_719,treatment,6662,6,627,paid
user_720,treatment,3440,6,712,late
user_721,treatment,5919,18,623,paid
user_722,control,3419,12,667,defaulted
user_723,treatment,4064,18,613,paid
user_724,control,7871,18,687,paid
user_725,control,4713,6,684,paid
user_726,control,5326,18,742,defaulted
user_727,control,6305,12,641,late
user_728,control,5743,12,683,paid
user_729,control,5225,12,654,paid
user_730,treatment,5547,18,714,paid
user_731,control,8605,6,614,paid
user_732,control,4913,12,687,paid
user_733,control,5301,12,640,paid
user_734,treatment,6575,12,646,paid
user_735,treatment,6658,12,654,paid
user_736,control,6780,6,662,late
user_737,treatment,5958,6,644,paid
user_738,control,3285,12,660,paid
user_739,control,7450,18,728,paid
user_740,treatment,3280,6,699,paid
user_741,control,5453,6,693,paid
user_742,treatment,3868,18,627,paid
user_743,treatment,4903,6,605,paid
user_744,control,5493,18,697,paid
user_745,control,5482,12,693,paid
user_746,treatment,5632,18,723,paid
user_747,control,7420,6,619,defaulted
user_748,control,5680,6,638,defaulted
user_749,control,4633,12,568,paid
user_750,treatment,6446,18,630,paid
user_751,treatment,6784,12,699,paid
user_752,control,3158,6,626,defaulted
user_753,treatment,5896,12,682,paid
user_754,treatment,6051,12,640,paid
user_755,treatment,4553,12,666,paid
user_756,treatment,7063,12,592,paid
user_757,treatment,4774,18,654,paid
user_758,control,5188,12,500,defaulted
user_759,control,4740,6,640,paid
user_760,control,5023,12,568,paid
user_761,treatment,3355,6,710,paid
user_762,treatment,2839,12,688,paid
user_763,control,7391,12,673,late
user_764,treatment,3729,6,726,paid
user_765,control,3512,12,602,late
user_766,control,1769,6,737,paid
user_767,control,4041,18,696,paid
user_768,treatment,3015,18,638,defaulted
user_769,treatment,7463,6,706,paid
user_770,control,6514,18,594,defaulted
user_771,control,3967,12,608,paid
user_772,control,8378,6,619,late
user_773,control,6472,6,623,paid
user_774,treatment,4512,12,597,paid
user_775,treatment,1250,12,711,paid
user_776,control,8436,12,637,defaulted
user_777,control,2915,6,667,late
user_778,treatment,2531,6,621,paid
user_779,treatment,6533,12,558,defaulted
user_780,control,8659,6,663,paid
user_781,control,7076,6,554,paid
user_782,control,5845,6,646,paid
user_783,treatment,5892,18,581,paid
user_784,treatment,6280,18,749,paid
user_785,treatment,6138,12,695,paid
user_786,control,5421,18,655,paid
user_787,control,5156,12,713,paid
user_788,treatment,4906,12,607,paid
user_789,treatment,3869,6,677,paid
user_790,control,4578,12,659,paid
user_791,treatment,2460,18,663,paid
user_792,treatment,4852,12,713,paid
user_793,control,3517,12,686,paid
user_794,treatment,3344,12,664,paid
user_795,control,5269,6,567,paid
user_796,control,7088,18,601,paid
user_797,control,6377,12,643,paid
user_798,control,2644,12,654,paid
user_799,control,3515,12,593,paid
user_800,control,6411,12,770,paid
user_801,control,3526,6,725,late
user_802,treatment,4663,12,680,late
user_803,control,5825,6,653,paid
user_804,control,3547,12,639,paid
user_805,treatment,5158,18,602,paid
user_806,treatment,2998,18,653,paid
user_807,treatment,4097,12,662,late
user_808,control,5479,12,587,paid
user_809,treatment,2610,6,666,paid
user_810,control,5660,12,642,paid
user_811,control,4970,6,554,defaulted
user_812,control,5828,12,606,paid
user_813,control,5335,6,629,paid
user_814,treatment,7046,6,744,paid
